Count = 34 ; Time = 0.1 
Count = 35 ; Time = 33.1 
Count = 36 ; Time = 64 
Count = 37 ; Time = 97.8 
Count = 38 ; Time = 138.4 
Count = 39 ; Time = 175.2 
Count = 40 ; Time = 212.5 
Count = 41 ; Time = 250.7 
Count = 42 ; Time = 290.3 
Count = 43 ; Time = 331.7 
Count = 44 ; Time = 373.9 
Count = 56 ; Time = 417.5 
Count = 57 ; Time = 446.2 
Count = 58 ; Time = 475.4 
Count = 59 ; Time = 506 
Count = 60 ; Time = 540.9 
Count = 61 ; Time = 574.9 
Count = 62 ; Time = 609.1 
Count = 63 ; Time = 644.9 
Count = 64 ; Time = 683.3 
Count = 65 ; Time = 721.5 
Count = 66 ; Time = 761.1 
