"","year","0.025","0.5","0.975"
"1",1978,6839.7862272755,11491.8932832496,18991.5541367018
"2",1987,5279.37193664311,7363.10343294836,10053.0117895917
"3",1988,5094.27266006129,7224.05535886279,9784.52621065833
"4",1989,5111.85322801353,7238.45287888476,9472.56413882023
"5",1990,4222.62179947404,6242.0429037678,8468.34941889993
"6",1991,2758.72537090249,4488.85756629047,7122.19454245041
"7",1992,3973.17262405838,6768.24343724107,11394.0724627096
"8",1993,5856.97048500285,9640.00086290708,15226.4759708371
"9",1994,4580.90926212413,7699.25321750493,11445.4951290812
"10",1995,2339.88265691277,4312.92637789562,7275.92146683644
"11",1996,3254.69386853166,5047.11123829006,7680.94038654451
"12",1979,3535.31551066305,5922.13867802425,9314.41166821485
"13",1997,3489.80997770416,5408.62445973402,8023.7634749523
"14",1998,5124.538699854,7447.16800711799,10377.5218614854
"15",1999,4966.41303787702,6985.35697479103,9313.72956415777
"16",2000,4628.18913348335,6352.54287812797,8256.84291010889
"17",2001,4496.77487643454,5950.2341917126,7436.5275735226
"18",2002,4357.02627933569,5715.20016260597,7080.9861715632
"19",2003,1845.2767463253,2498.56953464661,3185.59591103323
"20",2004,2752.36116246874,3666.40163159119,4625.57050912017
"21",2005,2932.61729794804,3682.14417913748,4945.50653770473
"22",2006,5573.2543815137,6885.38255853783,8976.44785538403
"23",1980,4178.26163481211,7130.31013931812,11118.9389095237
"24",2007,5611.40377939,7258.10287572147,8955.71290095151
"25",2008,4424.8412458998,6031.4380872826,7516.28366862295
"26",2009,4970.79837976869,6910.74667048232,8664.76947975623
"27",2010,7212.86584471424,9840.98212444908,12327.5509798802
"28",2011,6131.10472787608,8140.30468048729,10349.0557385481
"29",2012,5606.88782765318,7481.00106171234,9570.84491320573
"30",2013,3337.39167340004,4652.32141117529,6036.36910656873
"31",2014,3201.50319705223,4381.48632506566,5726.89505575045
"32",2015,2622.12950131582,3413.18391517431,4564.67179370654
"33",2016,4377.76074552999,5630.92097484654,7776.79410181546
"34",1981,10655.9200075788,14727.7185837328,19319.6787345258
"35",2017,2240.37442391675,3336.03032148379,4880.12005014584
"36",2018,3234.64299400266,5630.12971171408,9718.82772942262
"37",2019,2268.76142427139,5300.56841634987,12161.663908742
"38",2020,2031.86680959045,5357.08123883425,13588.7226832307
"39",1982,8760.76467478449,11955.5804043858,15464.6309631351
"40",1983,8152.63578336733,10907.5478593592,13710.5719354966
"41",1984,13378.2165582266,17628.0390405239,21501.1993796886
"42",1985,9088.64118692032,11563.0973180653,14531.2144154346
"43",1986,8751.61444258317,11146.6159891235,14602.9434396448
