year,age3,age4,age5,age6,age7,age8
1978,0,0,0,0,0,0
1979,0,0,0,0,0,0
1980,0,0,0,0,0,0
1981,0,0,0,0,0,0
1982,0,0,0,0,0,0
1983,0,20,50,9,1,0
1984,0,0,0,0,0,0
1985,0,11,5,1,0,0
1986,0,14,21,3,0,0
1987,2,23,32,13,0,0
1988,1,100,73,19,5,0
1989,0,69,119,28,4,0
1990,0,43,45,21,0,1
1991,1,17,82,30,4,0
1992,0,4,7,0,0,0
1993,0,13,17,18,7,2
1994,3,26,18,13,0,0
1995,0,14,29,28,6,0
1996,0,13,5,1,0,0
1997,1,31,12,3,0,0
1998,0,5,6,3,0,0
1999,0,1,2,0,0,0
2000,0,0,0,0,0,0
2001,0,1,9,1,0,0
2002,0,3,6,0,1,0
2003,0,1,9,2,0,0
2004,0,20,25,10,2,0
2005,3,22,69,46,2,0
2006,3,115,173,29,1,1
2007,0,42,173,69,10,2
2008,3,114,65,21,5,0
2009,5,87,58,17,2,2
2010,4,118,53,9,1,0
2011,5,109,192,34,1,1
2012,12,133,197,39,1,0
2013,12,79,105,71,4,2
2014,7,155,144,26,4,0
2015,3,43,69,11,2,0
2016,0,46,47,13,2,0
2017,5,34,103,47,5,0
2018,1,18,23,5,1,0
2019,2,75,103,38,2,0
2020,1,81,34,4,0,0
2021,0,18,41,8,0,0
